serial,cup_serial,team,team_txt,year,host,host_ar,appearances,stage,count,rank,part,pld,w,d,l,gf,ga,gd,pts
3,17,Tunisia,Tunisia,2002,Korea-Japan,كوريا واليابان,5,R1,3,47,5,15,2,4,9,13,25,−14,12
4,18,Tunisia,Tunisia,2006,Germany,ألمانيا,5,R1,4,47,5,15,2,4,9,13,25,−15,13
5,21,Tunisia,Tunisia,2018,Russia,روسيا,5,R1,5,47,5,15,2,4,9,13,25,−16,14
1,1,United States,United_States,1930,Uruguay,أوروغواي,10,3rd,1,26,10,33,8,6,19,37,62,−25,30
2,2,United States,United_States,1934,Italy,إيطاليا,10,R1,1,26,10,33,8,6,19,37,62,−26,31
3,4,United States,United_States,1950,Brazil,البرازيل,10,R1,2,26,10,33,8,6,19,37,62,−27,32
4,14,United States,United_States,1990,Italy,إيطاليا,10,R1,3,26,10,33,8,6,19,37,62,−28,33
5,15,United States,United_States,1994,US,الولايات المتحدة ,10,R2,1,26,10,33,8,6,19,37,62,−29,34
6,16,United States,United_States,1998,France,فرنسا,10,R1,4,26,10,33,8,6,19,37,62,−30,35
7,17,United States,United_States,2002,Korea-Japan,كوريا واليابان,10,QF,1,26,10,33,8,6,19,37,62,−31,36
8,18,United States,United_States,2006,Germany,ألمانيا,10,R1,5,26,10,33,8,6,19,37,62,−32,37
9,19,United States,United_States,2010,South Africa,جنوب أفريقيا,10,R2,2,26,10,33,8,6,19,37,62,−33,38
10,20,United States,United_States,2014,Brazil,البرازيل,10,R2,3,26,10,33,8,6,19,37,62,−34,39
1,1,Uruguay,Uruguay,1930,Uruguay,أوروغواي,13,1st,1,9,13,56,24,12,20,87,74,13,84
2,4,Uruguay,Uruguay,1950,Brazil,البرازيل,13,1st,2,9,13,56,24,12,20,87,74,13,84
3,5,Uruguay,Uruguay,1954,Switzerland,سويسرا,13,4th,1,9,13,56,24,12,20,87,74,13,84
4,7,Uruguay,Uruguay,1962,Chile,تشيلي,13,R1,1,9,13,56,24,12,20,87,74,13,84
5,8,Uruguay,Uruguay,1966,England,إنجلترا,13,QF,1,9,13,56,24,12,20,87,74,13,84
6,9,Uruguay,Uruguay,1970,Mexico,المكسيك,13,4th,2,9,13,56,24,12,20,87,74,13,84
7,10,Uruguay,Uruguay,1974,Germany,ألمانيا,13,R1,2,9,13,56,24,12,20,87,74,13,84
8,13,Uruguay,Uruguay,1986,Mexico,المكسيك,13,R2,1,9,13,56,24,12,20,87,74,13,84
9,14,Uruguay,Uruguay,1990,Italy,إيطاليا,13,R2,2,9,13,56,24,12,20,87,74,13,84
10,17,Uruguay,Uruguay,2002,Korea-Japan,كوريا واليابان,13,R1,3,9,13,56,24,12,20,87,74,13,84
11,19,Uruguay,Uruguay,2010,South Africa,جنوب أفريقيا,13,4th,3,9,13,56,24,12,20,87,74,13,84
12,20,Uruguay,Uruguay,2014,Brazil,البرازيل,13,R2,3,9,13,56,24,12,20,87,74,13,84
13,21,Uruguay,Uruguay,2018,Russia,روسيا,13,QF,2,9,13,56,24,12,20,87,74,13,84
1,6,Wales,Wales,1958,Sweden,السويد,1,QF,1,54,1,5,1,3,1,4,4,0,6
